date,region,district,candidate,party,voteshare,candidatevotes,totalvotes
11/5/2022,FL,2,Democrat,DEM,0,null,FALSE
11/5/2022,FL,3,Democrat,DEM,0,null,FALSE
11/5/2022,FL,4,Republican,REP,0,null,TRUE
11/5/2022,FL,5,Democrat,DEM,0,null,FALSE
11/5/2022,FL,6,Democrat,DEM,0,null,FALSE
11/5/2022,FL,7,Democrat,DEM,0,null,FALSE
11/5/2022,FL,8,Democrat,DEM,0,null,FALSE
11/5/2022,FL,9,Democrat,DEM,0,null,FALSE
11/5/2022,FL,10,Democrat,DEM,0,null,FALSE
11/5/2022,FL,11,Democrat,DEM,0,null,FALSE
11/5/2022,FL,12,Democrat,DEM,0,null,FALSE
11/5/2022,FL,13,Democrat,DEM,0,null,FALSE
11/5/2022,FL,14,Democrat,DEM,0,null,FALSE
11/5/2022,FL,0,Republican,REP,0,null,FALSE
11/5/2022,FL,16,Democrat,DEM,0,null,FALSE
11/5/2022,FL,17,Republican,REP,0,null,FALSE
11/5/2022,FL,18,Democrat,DEM,0,null,FALSE
11/5/2022,FL,19,Democrat,DEM,0,null,FALSE
11/5/2022,FL,20,Democrat,DEM,0,null,FALSE
11/5/2022,FL,21,Democrat,DEM,0,null,FALSE
11/5/2022,FL,22,Democrat,DEM,0,null,FALSE
11/5/2022,FL,23,Democrat,DEM,0,null,FALSE
11/5/2022,FL,24,Democrat,DEM,0,null,FALSE
11/5/2022,FL,25,Democrat,DEM,0,null,FALSE
11/5/2022,FL,26,Democrat,DEM,0,null,FALSE
11/5/2022,FL,27,Democrat,DEM,0,null,FALSE
11/5/2022,FL,28,Republican,REP,0,null,TRUE
11/5/2022,FL,28,Democrat,DEM,0,null,TRUE
11/5/2022,GA,1,Democrat,DEM,0,null,FALSE
11/5/2022,GA,2,Republican,REP,0,null,FALSE
11/5/2022,GA,3,Democrat,DEM,0,null,FALSE
11/5/2022,GA,4,Democrat,DEM,0,null,FALSE
11/5/2022,GA,5,Democrat,DEM,0,null,FALSE
11/5/2022,GA,6,Republican,REP,0,null,TRUE
11/5/2022,GA,7,Democrat,DEM,0,null,FALSE
11/5/2022,GA,8,Democrat,DEM,0,null,FALSE
11/5/2022,GA,9,Democrat,DEM,0,null,FALSE
11/5/2022,GA,10,Democrat,DEM,0,null,FALSE
11/5/2022,GA,11,Democrat,DEM,0,null,FALSE
11/5/2022,GA,12,Democrat,DEM,0,null,FALSE
11/5/2022,GA,13,Democrat,DEM,0,null,FALSE
11/5/2022,GA,14,Democrat,DEM,0,null,FALSE
11/5/2022,HI,1,Democrat,DEM,0,null,FALSE
11/5/2022,HI,2,Democrat,DEM,0,null,FALSE
11/5/2022,ID,1,Democrat,DEM,0,null,FALSE
11/5/2022,ID,2,Democrat,DEM,0,null,FALSE
11/5/2022,IL,1,Democrat,DEM,0,null,FALSE
11/5/2022,IL,2,Republican,REP,0,null,TRUE
11/5/2022,IL,3,Democrat,DEM,0,null,FALSE
11/5/2022,IL,4,Democrat,DEM,0,null,FALSE
11/5/2022,IL,5,Democrat,DEM,0,null,FALSE
11/5/2022,IL,6,Democrat,DEM,0,null,FALSE
11/5/2022,IL,7,Democrat,DEM,0,null,FALSE
11/5/2022,IL,8,Democrat,DEM,0,null,FALSE
11/5/2022,IL,9,Democrat,DEM,0,null,FALSE
11/5/2022,IL,10,Democrat,DEM,0,null,FALSE
11/5/2022,IL,11,Democrat,DEM,0,null,FALSE
11/5/2022,IL,12,Democrat,DEM,0,null,FALSE
11/5/2022,IL,13,Democrat,DEM,0,null,FALSE
11/5/2022,IL,14,Republican,REP,0,null,FALSE
11/5/2022,IL,0,Democrat,DEM,0,null,FALSE
11/5/2022,IL,16,Democrat,DEM,0,null,FALSE
11/5/2022,IL,17,Democrat,DEM,0,null,FALSE
11/5/2022,IN,1,Republican,REP,0,null,FALSE
11/5/2022,IN,2,Democrat,DEM,0,null,FALSE
11/5/2022,IN,3,Democrat,DEM,0,null,FALSE
11/5/2022,IN,4,Democrat,DEM,0,null,FALSE
11/5/2022,IN,5,Republican,REP,0,null,TRUE
11/5/2022,IN,6,Democrat,DEM,0,null,FALSE
11/5/2022,IN,7,Democrat,DEM,0,null,FALSE
11/5/2022,IN,8,Democrat,DEM,0,null,FALSE
11/5/2022,IN,9,Democrat,DEM,0,null,FALSE
11/5/2022,IA,1,Republican,REP,0,null,FALSE
11/5/2022,IA,2,Republican,REP,0,null,TRUE
11/5/2022,IA,3,Republican,REP,0,null,TRUE
11/5/2022,IA,4,Democrat,DEM,0,null,FALSE
11/5/2022,KS,1,Democrat,DEM,0,null,FALSE
11/5/2022,KS,2,Democrat,DEM,0,null,FALSE
11/5/2022,KS,3,Democrat,DEM,0,null,FALSE
11/5/2022,KS,4,Democrat,DEM,0,null,FALSE
11/5/2022,KY,1,Democrat,DEM,0,null,FALSE
11/5/2022,KY,2,Democrat,DEM,0,null,FALSE
11/5/2022,KY,3,Democrat,DEM,0,null,FALSE
11/5/2022,KY,4,Democrat,DEM,0,null,FALSE
11/5/2022,KY,5,Democrat,DEM,0,null,FALSE
11/5/2022,KY,6,Democrat,DEM,0,null,FALSE
11/5/2022,LA,1,Democrat,DEM,0,null,FALSE
11/5/2022,LA,2,Democrat,DEM,0,null,FALSE
11/5/2022,LA,3,Democrat,DEM,0,null,FALSE
11/5/2022,LA,4,Democrat,DEM,0,null,FALSE
11/5/2022,LA,5,Democrat,DEM,0,null,FALSE
11/5/2022,LA,6,Democrat,DEM,0,null,FALSE
11/5/2022,ME,1,Democrat,DEM,0,null,FALSE
11/5/2022,ME,2,Democrat,DEM,0,null,FALSE
11/5/2022,MD,1,Democrat,DEM,0,null,FALSE
11/5/2022,MD,2,Democrat,DEM,0,null,FALSE
11/5/2022,MD,2,Democrat,DEM,0,null,FALSE
11/5/2022,MD,3,Democrat,DEM,0,null,FALSE
11/5/2022,MD,4,Democrat,DEM,0,null,FALSE
11/5/2022,MD,5,Democrat,DEM,0,null,FALSE
11/5/2022,MD,6,Democrat,DEM,0,null,FALSE
11/5/2022,MD,7,Democrat,DEM,0,null,FALSE
11/5/2022,MD,8,Democrat,DEM,0,null,FALSE
11/5/2022,MA,1,Democrat,DEM,0,null,FALSE
11/5/2022,MA,2,Democrat,DEM,0,null,FALSE
11/5/2022,MA,3,Democrat,DEM,0,null,FALSE
11/5/2022,MA,4,Democrat,DEM,0,null,FALSE
11/5/2022,MA,5,Democrat,DEM,0,null,FALSE
11/5/2022,MA,6,Democrat,DEM,0,null,FALSE
11/5/2022,MA,7,Democrat,DEM,0,null,FALSE
11/5/2022,MA,8,Democrat,DEM,0,null,FALSE
11/5/2022,MA,9,Democrat,DEM,0,null,FALSE
11/5/2022,MI,1,Democrat,DEM,0,null,FALSE
11/5/2022,MI,2,Democrat,DEM,0,null,FALSE
11/5/2022,MI,3,Democrat,DEM,0,null,FALSE
11/5/2022,MI,4,Democrat,DEM,0,null,FALSE
11/5/2022,MI,5,Democrat,DEM,0,null,FALSE
11/5/2022,MI,6,Republican,REP,0,null,TRUE
11/5/2022,MI,7,Republican,REP,0,null,FALSE
11/5/2022,MI,8,Democrat,DEM,0,null,FALSE
11/5/2022,MI,9,Democrat,DEM,0,null,FALSE
11/5/2022,MI,10,Democrat,DEM,0,null,FALSE
11/5/2022,MI,11,Democrat,DEM,0,null,FALSE
11/5/2022,MI,12,Democrat,DEM,0,null,FALSE
11/5/2022,MI,13,Democrat,DEM,0,null,FALSE
11/5/2022,MN,1,Republican,REP,0,null,FALSE
11/5/2022,MN,2,Democrat,DEM,0,null,FALSE
11/5/2022,MN,3,Democrat,DEM,0,null,FALSE
11/5/2022,MN,4,Democrat,DEM,0,null,FALSE
11/5/2022,MN,5,Democrat,DEM,0,null,FALSE
11/5/2022,MN,6,Democrat,DEM,0,null,FALSE
11/5/2022,MN,7,Democrat,DEM,0,null,FALSE
11/5/2022,MN,8,Democrat,DEM,0,null,FALSE
11/5/2022,MS,1,Democrat,DEM,0,null,FALSE
11/5/2022,MS,2,Republican,REP,0,null,TRUE
11/5/2022,MS,3,Democrat,DEM,0,null,FALSE
11/5/2022,MS,4,Democrat,DEM,0,null,FALSE
11/5/2022,MO,1,Democrat,DEM,0,null,FALSE
11/5/2022,MO,2,Republican,REP,49.51,null,TRUE
11/5/2022,MO,3,Democrat,DEM,0,null,FALSE
11/5/2022,MO,4,Democrat,DEM,0,null,FALSE
11/5/2022,MO,5,Democrat,DEM,0,null,FALSE
11/5/2022,MO,6,Democrat,DEM,0,null,FALSE
11/5/2022,MO,7,Democrat,DEM,0,null,FALSE
11/5/2022,MO,8,Democrat,DEM,0,null,FALSE
11/5/2022,MT,1,Republican,REP,0,null,TRUE
11/5/2022,MT,2,Democrat,DEM,0,null,FALSE
11/5/2022,NE,1,Democrat,DEM,0,null,FALSE
11/5/2022,NE,2,Republican,REP,0,null,FALSE
11/5/2022,NE,3,Democrat,DEM,0,null,FALSE
11/5/2022,NV,1,Democrat,DEM,0,null,FALSE
11/5/2022,NV,2,Democrat,DEM,0,null,FALSE
11/5/2022,NV,3,Republican,REP,0,null,FALSE
11/5/2022,NV,4,Republican,REP,0,null,FALSE
11/5/2022,NH,1,Democrat,DEM,0,null,FALSE
11/5/2022,NH,2,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,1,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,2,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,3,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,4,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,5,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,6,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,7,Republican,REP,0,null,TRUE
11/5/2022,NJ,8,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,9,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,10,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,11,Democrat,DEM,0,null,FALSE
11/5/2022,NJ,11,Democrat,DEM,0,undefined,FALSE
11/5/2022,NJ,12,Democrat,DEM,0,null,FALSE
11/5/2022,NM,1,Democrat,DEM,0,null,FALSE
11/5/2022,NM,2,Republican,REP,0,null,TRUE
11/5/2022,NM,3,Democrat,DEM,0,null,FALSE
11/5/2022,NY,1,Democrat,DEM,0,null,FALSE
11/5/2022,NY,2,Democrat,DEM,0,null,FALSE
11/5/2022,NY,2,Democrat,DEM,0,null,FALSE
11/5/2022,NY,3,Republican,REP,0,null,TRUE
11/5/2022,NY,4,Republican,REP,0,null,FALSE
11/5/2022,NY,4,Democrat,DEM,0,null,FALSE
11/5/2022,NY,5,Democrat,DEM,0,null,FALSE
11/5/2022,NY,6,Democrat,DEM,0,null,FALSE
11/5/2022,NY,7,Democrat,DEM,0,null,FALSE
11/5/2022,NY,8,Democrat,DEM,0,null,FALSE
11/5/2022,NY,9,Democrat,DEM,0,null,FALSE
11/5/2022,NY,10,Democrat,DEM,0,null,FALSE
11/5/2022,NY,11,Democrat,DEM,0,null,FALSE
11/5/2022,NY,12,Democrat,DEM,0,null,FALSE
11/5/2022,NY,13,Democrat,DEM,0,null,FALSE
11/5/2022,NY,14,Democrat,DEM,0,null,FALSE
11/5/2022,NY,0,Democrat,DEM,0,null,FALSE
11/5/2022,NY,16,Democrat,DEM,0,null,FALSE
11/5/2022,NY,17,Republican,REP,0,null,FALSE
11/5/2022,NY,18,Democrat,DEM,0,null,FALSE
11/5/2022,NY,19,Democrat,DEM,0,null,FALSE
11/5/2022,NY,20,Democrat,DEM,0,null,FALSE
11/5/2022,NY,21,Democrat,DEM,0,null,FALSE
11/5/2022,NY,22,Republican,REP,0,null,FALSE
11/5/2022,NY,23,Democrat,DEM,0,null,FALSE
11/5/2022,NY,24,Democrat,DEM,0,null,FALSE
11/5/2022,NY,25,Democrat,DEM,0,null,FALSE
11/5/2022,NY,26,Democrat,DEM,0,null,FALSE
11/5/2022,NC,1,Republican,REP,0,null,TRUE
11/5/2022,NC,2,Democrat,DEM,0,null,FALSE
11/5/2022,NC,3,Democrat,DEM,0,null,FALSE
11/5/2022,NC,4,Democrat,DEM,0,null,FALSE
11/5/2022,NC,5,Democrat,DEM,0,null,FALSE
11/5/2022,NC,6,Democrat,DEM,0,null,FALSE
11/5/2022,NC,7,Republican,REP,0,null,TRUE
11/5/2022,NC,8,Democrat,DEM,0,null,FALSE
11/5/2022,NC,9,Democrat,DEM,0,null,FALSE
11/5/2022,NC,10,Democrat,DEM,0,null,FALSE
11/5/2022,NC,11,Republican,REP,0,null,TRUE
11/5/2022,NC,12,Democrat,DEM,0,null,FALSE
11/5/2022,NC,13,Democrat,DEM,0,null,FALSE
11/5/2022,NC,14,Democrat,DEM,0,null,FALSE
11/5/2022,ND,0,Democrat,DEM,0,null,FALSE
11/5/2022,OH,1,Democrat,DEM,0,null,FALSE
11/5/2022,OH,2,Democrat,DEM,0,null,FALSE
11/5/2022,OH,3,Democrat,DEM,0,null,FALSE
11/5/2022,OH,4,Democrat,DEM,0,null,FALSE
11/5/2022,OH,5,Democrat,DEM,0,null,FALSE
11/5/2022,OH,6,Democrat,DEM,0,null,FALSE
11/5/2022,OH,7,Democrat,DEM,0,null,FALSE
11/5/2022,OH,8,Democrat,DEM,0,null,FALSE
11/5/2022,OH,9,Republican,REP,0,null,TRUE
11/5/2022,OH,10,Democrat,DEM,49.51,null,FALSE
11/5/2022,OH,11,Democrat,DEM,0,null,FALSE
11/5/2022,OH,12,Democrat,DEM,0,null,FALSE
11/5/2022,OH,13,Democrat,DEM,0,null,FALSE
11/5/2022,OH,14,Democrat,DEM,0,null,FALSE
11/5/2022,OH,0,Democrat,DEM,0,null,FALSE
11/5/2022,OK,1,Democrat,DEM,0,null,FALSE
11/5/2022,OK,2,Democrat,DEM,0,null,FALSE
11/5/2022,OK,3,Democrat,DEM,0,null,FALSE
11/5/2022,OK,4,Democrat,DEM,0,null,FALSE
11/5/2022,OK,5,Republican,REP,0,null,FALSE
11/5/2022,OR,1,Democrat,DEM,0,null,FALSE
11/5/2022,OR,2,Democrat,DEM,0,null,FALSE
11/5/2022,OR,3,Democrat,DEM,0,null,FALSE
11/5/2022,OR,4,Democrat,DEM,0,null,FALSE
11/5/2022,OR,5,Republican,REP,0,null,FALSE
11/5/2022,OR,6,Democrat,DEM,0,null,FALSE
11/5/2022,PA,1,Democrat,DEM,0,null,FALSE
11/5/2022,PA,2,Democrat,DEM,0,null,FALSE
11/5/2022,PA,3,Democrat,DEM,0,null,FALSE
11/5/2022,PA,4,Democrat,DEM,0,null,FALSE
11/5/2022,PA,5,Democrat,DEM,0,null,FALSE
11/5/2022,PA,6,Democrat,DEM,0,null,FALSE
11/5/2022,PA,7,Republican,REP,0,null,FALSE
11/5/2022,PA,8,Democrat,DEM,0,null,FALSE
11/5/2022,PA,9,Democrat,DEM,0,null,FALSE
11/5/2022,PA,10,Republican,REP,0,null,TRUE
11/5/2022,PA,11,Democrat,DEM,0,null,FALSE
11/5/2022,PA,12,Democrat,DEM,0,null,FALSE
11/5/2022,PA,13,Democrat,DEM,0,null,FALSE
11/5/2022,PA,14,Democrat,DEM,0,null,FALSE
11/5/2022,PA,0,Democrat,DEM,0,null,FALSE
11/5/2022,PA,16,Democrat,DEM,0,null,FALSE
11/5/2022,PA,17,Republican,REP,0,null,FALSE
11/5/2022,RI,1,Democrat,DEM,0,null,FALSE
11/5/2022,RI,2,Democrat,DEM,0,null,FALSE
11/5/2022,SC,1,Republican,REP,0,null,TRUE
11/5/2022,SC,2,Democrat,DEM,0,null,FALSE
11/5/2022,SC,3,Democrat,DEM,0,null,FALSE
11/5/2022,SC,4,Democrat,DEM,0,null,FALSE
11/5/2022,SC,5,Democrat,DEM,0,null,FALSE
11/5/2022,SC,6,Democrat,DEM,0,null,FALSE
11/5/2022,SC,7,Democrat,DEM,0,null,FALSE
11/5/2022,SD,0,Democrat,DEM,0,null,FALSE
11/5/2022,TN,1,Democrat,DEM,0,null,FALSE
11/5/2022,TN,2,Democrat,DEM,0,null,FALSE
11/5/2022,TN,3,Democrat,DEM,0,null,FALSE
11/5/2022,TN,4,Democrat,DEM,0,null,FALSE
11/5/2022,TN,5,Republican,REP,0,null,FALSE
11/5/2022,TN,6,Democrat,DEM,0,null,FALSE
11/5/2022,TN,7,Democrat,DEM,0,null,FALSE
11/5/2022,TN,8,Democrat,DEM,0,null,FALSE
11/5/2022,TN,9,Democrat,DEM,0,null,FALSE
11/5/2022,TX,1,Democrat,DEM,0,null,FALSE
11/5/2022,TX,2,Democrat,DEM,0,null,FALSE
11/5/2022,TX,3,Democrat,DEM,0,null,FALSE
11/5/2022,TX,4,Democrat,DEM,0,null,FALSE
11/5/2022,TX,5,Democrat,DEM,0,null,FALSE
11/5/2022,TX,6,Democrat,DEM,0,null,FALSE
11/5/2022,TX,7,Democrat,DEM,0,null,FALSE
11/5/2022,TX,8,Democrat,DEM,0,null,FALSE
11/5/2022,TX,9,Democrat,DEM,0,null,FALSE
11/5/2022,TX,10,Democrat,DEM,0,null,FALSE
11/5/2022,TX,11,Democrat,DEM,0,null,FALSE
11/5/2022,TX,12,Democrat,DEM,0,null,FALSE
11/5/2022,TX,13,Democrat,DEM,0,null,FALSE
11/5/2022,TX,14,Democrat,DEM,0,null,FALSE
11/5/2022,TX,0,Democrat,DEM,0,null,FALSE
11/5/2022,TX,16,Democrat,DEM,0,null,FALSE
11/5/2022,TX,17,Democrat,DEM,0,null,FALSE
11/5/2022,TX,18,Democrat,DEM,0,null,FALSE
11/5/2022,TX,19,Democrat,DEM,0,null,FALSE
11/5/2022,TX,20,Democrat,DEM,0,null,FALSE
11/5/2022,TX,21,Democrat,DEM,0,null,FALSE
11/5/2022,TX,22,Democrat,DEM,0,null,FALSE
11/5/2022,TX,23,Democrat,DEM,0,null,FALSE
11/5/2022,TX,24,Democrat,DEM,0,null,FALSE
11/5/2022,TX,25,Democrat,DEM,0,null,FALSE
11/5/2022,TX,26,Democrat,DEM,0,null,FALSE
11/5/2022,TX,27,Democrat,DEM,0,null,FALSE
11/5/2022,TX,28,Republican,REP,0,null,TRUE
11/5/2022,TX,29,Democrat,DEM,0,null,FALSE
11/5/2022,TX,30,Democrat,DEM,0,null,FALSE
11/5/2022,TX,31,Democrat,DEM,0,null,FALSE
11/5/2022,TX,32,Democrat,DEM,0,null,FALSE
11/5/2022,TX,33,Democrat,DEM,0,null,FALSE
11/5/2022,TX,34,Republican,REP,0,null,TRUE
11/5/2022,TX,35,Democrat,DEM,0,null,FALSE
11/5/2022,TX,36,Democrat,DEM,0,null,FALSE
11/5/2022,TX,37,Democrat,DEM,0,null,FALSE
11/5/2022,TX,38,Democrat,DEM,0,null,FALSE
11/5/2022,UT,1,Democrat,DEM,0,null,FALSE
11/5/2022,UT,2,Democrat,DEM,0,null,FALSE
11/5/2022,UT,3,Democrat,DEM,0,null,FALSE
11/5/2022,UT,4,Democrat,DEM,0,null,TRUE
11/5/2022,VT,0,Democrat,DEM,0,null,FALSE
11/5/2022,VA,1,Democrat,DEM,0,null,FALSE
11/5/2022,VA,2,Republican,REP,0,null,FALSE
11/5/2022,VA,3,Democrat,DEM,0,null,FALSE
11/5/2022,VA,4,Democrat,DEM,0,null,FALSE
11/5/2022,VA,5,Democrat,DEM,0,null,FALSE
11/5/2022,VA,6,Democrat,DEM,0,null,FALSE
11/5/2022,VA,7,Democrat,DEM,0,null,FALSE
11/5/2022,VA,8,Democrat,DEM,0,null,FALSE
11/5/2022,VA,9,Democrat,DEM,0,null,FALSE
11/5/2022,VA,10,Democrat,DEM,0,null,FALSE
11/5/2022,VA,11,Democrat,DEM,0,null,FALSE
11/5/2022,WA,1,Democrat,DEM,0,null,FALSE
11/5/2022,WA,2,Democrat,DEM,0,null,FALSE
11/5/2022,WA,3,Republican,REP,0,null,FALSE
11/5/2022,WA,4,Democrat,DEM,0,null,FALSE
11/5/2022,WA,5,Democrat,DEM,0,null,FALSE
11/5/2022,WA,6,Democrat,DEM,0,null,FALSE
11/5/2022,WA,7,Democrat,DEM,0,null,FALSE
11/5/2022,WA,8,Democrat,DEM,0,null,FALSE
11/5/2022,WA,9,Democrat,DEM,0,null,FALSE
11/5/2022,WA,10,Democrat,DEM,0,null,FALSE
11/5/2022,WV,1,Democrat,DEM,0,null,FALSE
11/5/2022,WV,2,Democrat,DEM,0,null,FALSE
11/5/2022,WI,1,Republican,REP,0,null,TRUE
11/5/2022,WI,2,Democrat,DEM,0,null,FALSE
11/5/2022,WI,3,Democrat,DEM,0,null,FALSE
11/5/2022,WI,4,Democrat,DEM,0,null,FALSE
11/5/2022,WI,5,Democrat,DEM,0,null,FALSE
11/5/2022,WI,6,Democrat,DEM,0,null,FALSE
11/5/2022,WI,7,Democrat,DEM,0,null,FALSE
11/5/2022,WI,8,Republican,REP,49.51,null,TRUE
11/5/2022,WY,0,Democrat,DEM,0,null,FALSE


11/5/2022,FL,15,Republican,REP,0,null,FALSE

11/5/2022,CA,15,Republican,REP,0,null,FALSE

11/5/2022,NY,15,Republican,REP,0,null,FALSE

11/5/2022,IL,15,Democratic,DEM,0,null,FALSE

11/5/2022,PA,15,Democratic,DEM,0,null,FALSE

11/5/2022,TX,15,Democratic,DEM,0,null,FALSE

11/5/2022,OH,15,Democratic,DEM,0,null,FALSE

11/5/2022,NPV,undefined,Democratic,DEM,54,null,FALSE
11/5/2022,NPV,undefined,Republican,REP,44,null,FALSE
